question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-D5-001,A project manager is defining what the monitoring for a demand forecasting model should report each week. The team proposes reporting the average size of the forecast error. The business plans staffing from the forecast and is affected differently by under-forecasting than by over-forecasting. What should the report add?,"The number of forecasts produced during the week, so the error can be put in context",The direction of the errors alongside their size,The largest single forecast error observed during the week,"The average error from the previous week, so the trend can be seen",B,"Where two directions of error have different consequences, a single magnitude conceals which occurred.",Volume gives scale to the reporting period. It does not distinguish the two kinds of error the business experiences differently.,"An average magnitude treats a forecast that is too low the same as one that is too high. The business is affected differently by each, so the direction has to be visible.",A worst case is useful for understanding exposure and is worth including. On its own it still does not show which direction the errors ran.,A trend line on the same measure inherits the same limitation in both periods.,Operationalize AI Solution,Production monitoring and performance tracking,MEDIUM,,,,,,,
CPMAI-D5-002,A model that passed evaluation is ready to go live for all branches at once. The project manager proposes releasing it to a small number of branches first. The team argues that evaluation already showed the model works and that a staged release only delays the benefit. What does the staged release provide that evaluation did not?,"Evidence of how the model behaves within the live process, at limited exposure",Another measurement on the same held-out evaluation records before wider release,An opportunity to collect more training records before the model reaches every branch,Assurance that the model's infrastructure can carry the full production load,A,Evaluation measures the model; a staged release measures the model inside the live process around it.,"Evaluation scored predictions against held-out records. A staged release exercises the integrations, the handoffs and the people acting on the output, with a small population carrying any problems.",Re-running the original evaluation repeats a measurement already taken on records the model has already been scored against. It exercises none of the live process around the model.,Records gathered during a staged release can be useful later. Gathering them is not the reason to limit exposure at go-live.,"Load behaviour at a few branches says little about full volume, so a staged release is weak evidence for capacity. Capacity is tested separately.",Operationalize AI Solution,Deployment planning and release strategy,MEDIUM,,,,,,,
CPMAI-D5-003,A project manager asks what should happen when monitoring signals that a live model's performance has fallen below the agreed level. The team says it would investigate and decide at the time. The model supports decisions that continue to be made while any investigation proceeds. What should be agreed in advance?,The maximum time the investigation is permitted to take before it must conclude,Which team member will carry out the investigation when the signal is raised,The level at which the monitoring signal should be set for the model,"What happens to live decisions while the investigation runs, and who decides",D,A response agreed before an incident removes the need to negotiate one while decisions continue.,A time limit adds pressure without saying what happens to decisions during the period. It also cannot force a diagnosis to arrive.,Naming an investigator is a useful part of the response plan. It does not settle what happens to the decisions being made meanwhile.,The trigger level is already agreed in the scenario. What is missing is the response once it fires.,"Decisions do not pause for an investigation. Agreeing beforehand whether the model keeps serving, falls back or routes to people prevents that being argued while the exposure continues.",Operationalize AI Solution,Drift detection and retraining,MEDIUM,,,,,,,
CPMAI-D5-004,A project manager is writing the incident procedure for a live model that supports customer-facing decisions. The team has already covered how to diagnose a fault and how to deploy a fix. Which further elements should the procedure define? Select two.,Which algorithm the replacement model should use if the fault cannot be corrected,How live decisions are handled while the fault is being investigated,The budget available for additional infrastructure during the incident,Who informs the affected users and what they are told,"B,D","An incident procedure covers stopping the harm and telling the people affected, not only repairing the system.",Choosing a modelling approach is development work that follows a diagnosis. It does not belong in the immediate response.,"Decisions continue throughout an investigation. Deciding beforehand whether the model keeps serving, falls back or routes to people is what limits the exposure.",Spending authority may matter for a capacity incident. It is not a general element of a model incident procedure.,People acting on the output need to know its status. Without a defined route the information reaches them late or not at all.,Operationalize AI Solution,"Incident response, rollback and failure handling",MEDIUM,,,,The format in which the post-incident report should be written,,A report template is useful afterwards and contributes nothing during the response.,
CPMAI-D5-005,A model has been live for a month and adoption is lower than planned. Production monitoring confirms the model is meeting its agreed performance level. The project manager wants to understand why adoption is low before proposing any change. Which two sources of evidence should be gathered first? Select two.,Usage data showing where in the process people stop engaging with the output,The model's accuracy figures over the month since it went live,Direct accounts from the staff expected to use it,A comparison with adoption rates reported by other organisations,"A,C",Diagnosing low adoption needs both what people are doing and why they are doing it.,"The point at which engagement drops narrows the possible causes quickly, and separates people who do not open the output at all from those who open it and disregard it.","The monitoring already confirms the model is meeting its agreed level, so performance is not the open question. A model performing to target can still go unused.",Usage data shows the pattern and not the reason. Only the people doing the work can say what stops them acting on the output.,"Another organisation's rate reflects its own process, staff and tool, and cannot explain the pattern here.",Operationalize AI Solution,"Adoption, training and change management",MEDIUM,,,,The volume of records the model processed during the month,,"Processing volume describes the service running, not whether anyone acted on what it produced.",
CPMAI-D5-006,"A model produces a risk score for each incoming application. During design the team assumed a reviewer would read the score before deciding. In the live process, the score arrives in a queue the reviewer works through after the decision has been recorded. What should the project manager conclude?",The reviewer should be instructed to revisit decisions where the score later proves high,The model cannot affect the decisions it was built to support until it is delivered before them,The score should be recalculated at the moment the reviewer opens the queue item,The model's accuracy should be improved so that high scores are easier for reviewers to notice,B,A prediction delivered after the decision point cannot influence the decision it was built to inform.,"Reworking recorded decisions is costly and does not deliver the intended benefit, which was a better decision the first time.",A correct score arriving after the decision is recorded changes nothing. The integration has to place the output at the point where the decision is actually made.,Recalculating does not move the delivery earlier. The score would still arrive after the decision was recorded.,No level of accuracy compensates for arriving too late to inform the decision.,Operationalize AI Solution,Integration with business processes and systems,EASY,,,,,,,
CPMAI-D5-007,"A model screens applications and a reviewer confirms each decision before it takes effect. After six months the reviewer confirms almost every decision without change, and the time spent per case has fallen steadily. The project manager is told the human check is therefore working well. What should be examined?",Whether the reviewer is still examining each case or has come to accept the model's output by default,Whether the reviewer has enough cases each day to maintain familiarity with the process,Whether the model's accuracy has improved over the six months of operation,Whether a second reviewer should be added to confirm the first reviewer's decisions,A,A review step that approves everything may no longer be exercising independent judgement.,A near-total confirmation rate with falling review time is consistent with genuine agreement and also with the check becoming a formality. Which of the two it is determines whether the control exists.,Volume affects familiarity and is worth knowing. It does not establish whether the cases are being examined.,Improving accuracy would explain fewer corrections and would not show whether the check still functions.,Adding a layer multiplies the cost and can dilute responsibility. It does not diagnose the existing check.,Operationalize AI Solution,Human oversight and escalation in operation,HARD,,,,,,,
CPMAI-D5-008,"Three versions of a model have been deployed over a year. The team can identify which version is running now but cannot say which version produced a given past decision, because the outputs were stored without a version marker. A customer queries a decision made eight months ago. What difficulty does this create?",The current model cannot be used to re-score the customer's case for comparison,The team cannot establish whether the model has improved over the three versions,The customer's case will need to be decided again from the beginning,The decision cannot be traced to the logic that produced it,D,A decision cannot be explained after the fact unless the version that produced it is recorded with it.,"Re-scoring with the current model is straightforward and would answer a different question, since that version may not be the one that decided.",Comparing versions is a real difficulty here. The pressing issue is explaining one decision to the customer who queried it.,"Re-deciding may follow. It does not explain the original decision, which is what was asked.","Explaining the decision requires knowing which model made it. Without the marker, the team can only guess which of three versions was live and what it would have done.",Operationalize AI Solution,"Model lifecycle, versioning and retirement",MEDIUM,,,,,,,
CPMAI-D5-009,"A live model's monthly running cost has risen steadily as usage has grown, and now exceeds the saving the business case attributed to it. The model is accurate and well adopted. The project manager is asked what should happen. What is the appropriate response?","Continue, since the model is accurate and staff have adopted it successfully",Reduce the model's usage until the running cost falls back within the original saving,"Review whether the cost can be reduced or the benefit increased, and decide on the result",Recalculate the original business case using the current cost figures,C,"An operating model has to keep earning its cost, and that balance can change after deployment.",Accuracy and adoption are means to a benefit. Neither justifies an arrangement that now costs more than it returns.,"Cutting usage indiscriminately removes benefit alongside cost, and may remove the most valuable uses first.","A model that costs more than it returns is not worth running as configured. Options include cheaper serving, narrowing its use to the cases with most value, or accepting it is no longer viable.",Restating the case documents the position. It does not decide what to do about it.,Operationalize AI Solution,Operational governance and value realisation,HARD,,,,,,,
CPMAI-D5-010,A team reports a single monthly accuracy figure for a model that serves five customer segments of very different sizes. The figure has been stable for six months. The project manager asks whether that stability is sufficient assurance. What is the limitation of the report as it stands?,A monthly reporting interval is too infrequent to detect a problem in a live model,Accuracy is the wrong measure to report for a model serving customer segments,A stable total can hide a decline in one segment offset by others,Six months is not long enough to establish that a model's performance is stable,C,One pooled figure can stay steady while performance moves in opposite directions underneath it.,Reporting frequency is a separate question worth reviewing. A more frequent pooled figure would conceal the same thing.,"Accuracy may or may not be the best measure here, but the defect described is the pooling, which would affect any measure reported the same way.",The pooled figure is weighted towards the larger segments. A serious fall in a smaller segment can be absorbed without the reported number moving.,A longer run of the same pooled figure inherits the same blind spot.,Operationalize AI Solution,Production monitoring and performance tracking,HARD,,,,,,,
